"","test_stat","tt_pval","x.obs","y.obs","arith_fold_exp.xy","geom_fold_exp.xy"
"mmu.miR.28.000411",1.34714152057758,0.21998631287311,5,4,1.57139081072534,1.68693439940558
"mmu.miR.29a.002112",-1.2564914222611,0.277287214013941,5,5,0.0515160397483018,0.196892109355104
"mmu.miR.29b.000413",1.33339232924108,0.247716764263739,5,3,1.75056340234829,1.45783569403303
"mmu.miR.29c.000587",-0.966810451719241,0.367711261823659,5,5,0.755494783354388,0.800459768549763
"mmu.miR.301a.000528",-0.753525171186763,0.482654084988696,5,5,0.86789897824538,0.906346117685278
"mmu.miR.301b.002600",0.000462342043191259,0.999644059294952,5,5,1.00013054499358,0.926809796565891
"mmu.miR.30a.000417",-1.76862491413641,0.128278265790864,5,5,0.634022456246481,0.652914053535043
"mmu.miR.30b.000602",-0.516186994386854,0.621548787558013,5,5,0.91959244401726,0.938742772279999
"mmu.miR.30c.000419",-0.502198089122051,0.630379156921894,5,5,0.919262347817899,0.901439641457793
"mmu.miR.30d.000420",-0.585527229658772,0.577106763873768,5,5,0.824113690673995,0.759792828478352
"mmu.miR.30e.002223",-1.38705732023286,0.205252099508546,5,5,0.674565315946434,0.642085622790426
"mmu.miR.31.000185",-0.765745518770829,0.483295532086753,5,5,0.516123635579453,0.882035360974412
"mmu.miR.320.002277",0.74475172622129,0.488711505346286,5,5,1.27463783034645,2.33839038330306
"mmu.miR.322.001076",0.584637897526709,0.653873591836309,2,2,1.984955303287,1.2425904235882
"mmu.miR.324.5p.000539",-16.2020219333218,0.000517835945432757,3,2,0.301101598323773,0.296536050799779
"mmu.miR.328.000543",-0.658236531726877,0.535326877314069,5,5,0.834534495984225,0.762946500270903
"mmu.miR.331.3p.000545",-0.517701732129239,0.628839313407039,5,5,0.814646491984291,1.18833401299987
"mmu.miR.340.3p.002259",-0.898596754654066,0.40168088716131,5,5,0.70839366271366,0.73004252203618
"mmu.miR.340.5p.002258",-0.235789052620031,0.836120539459052,2,5,0.837255981259479,1.29690769974418
"mmu.miR.342.3p.002260",0.15905726788625,0.880495242496108,5,5,1.0533041500955,0.877467989119994
"mmu.miR.34b.3p.002618",0.77924874316513,0.532449685395268,2,4,1.89777550544533,5.35945701774212
"mmu.miR.365.001020",0.140574439391222,0.891777637446292,5,5,1.05013808335045,1.0934586026588
"mmu.miR.375.000564",-0.239893383787192,0.819948560974403,5,5,0.948126286338393,1.04424830364508
"mmu.miR.423.5p.002340",-1.15044953293533,0.410557805533845,3,2,0.465091547630108,0.424904826019338
"mmu.miR.429.001077",0.599280396555056,0.581465386630839,3,3,1.53741903307118,2.36641075056013
"mmu.miR.484.001821",-0.335822982611482,0.746674059712163,5,5,0.879721918921313,0.918964477316298
