"","test_stat","tt_pval","wc_stat","wc_pval","x.obs","dif_X_Y","y.obs","norm.test.pval","arith_fold_exp.xy","geom_fold_exp.xy"
"1",1.35043378155455,0.195669862822627,89,0.579055786132813,20,17,20,0.00445040709651785,1.24329938209208,1.12811896045507
"2",-0.69190469705439,0.497825931519568,78,0.515277862548828,20,19,20,0.989707312542083,0.902071758611128,0.81395307796223
"3",-1.31913694676306,0.204616426678233,55,0.196388244628906,20,18,20,0.440640143810491,0.77245684970364,0.671997383364042
"4",-0.898535820447194,0.380146161269942,83,0.43043327331543,20,20,20,0.957107158405823,0.868252881903486,0.798389363477639
"5",-0.401420609914762,0.692589505756814,98,0.812355041503906,20,20,20,0.909279504288963,0.954816251334906,0.890024531160285
"6",-0.68825582936291,0.499609411163634,92,0.647655487060547,20,20,20,0.969800349440944,0.902176301718803,0.895244779524165
"7",-0.366726288894684,0.71787550958662,95,0.728506088256836,20,20,20,0.568071563589868,0.907076541349961,0.805495455735419
"8",-0.0782840113960809,0.9384658260218,98,0.921714782714844,20,19,20,0.973815594256951,0.9882973217052,0.911235841642511
"9",1.4502687427839,0.165183810993725,119,0.154045104980469,19,19,20,0.714958832448859,1.25759849812508,1.28950128033659
"10",0.279013789500434,0.786539556120221,25,0.845703125,17,16,16,0.0607733642645349,1.14631040168896,1.26492395518348
"11",0.358982818414222,0.725371109584217,63,0.5416259765625,19,16,19,0.421200671870104,1.03667480695904,1.07977623263956
"12",-0.410140453610441,0.687910281875134,51,0.638671875,17,20,18,0.838955548151583,0.889577144603782,0.999859086454609
"13",-1.33023676738775,0.204704517967629,45,0.42120361328125,20,15,20,0.0389711981124022,0.872221251140838,0.864755078684513
"14",0.602525596651361,0.554777188503888,96,0.670524597167969,20,18,20,0.867840817327994,1.08084272282137,1.079289865781
"15",1.08337003358572,0.292201544845539,130,0.368276596069336,20,20,20,0.739612872238921,1.15222140205221,1.12669713174855
"16",0.584880099586522,0.572997169985093,35,0.4921875,12,19,16,0.69427529095282,1.1965364320999,1.00983162406856
"17",-1.01589020196451,0.34888238728098,8,0.375,10,20,11,0.539709680294901,0.650561003405605,0.660803638842654
"18",3.02549115690216,0.00804013385149929,127,0.0149993896484375,19,19,19,0.759110308480507,2.04200569375685,2.63369372669525
"19",0.456174079997121,0.655792242275203,59,0.71484375,15,20,19,0.293314617409169,1.10880249527483,1.04827618709367
"20",1.07497878121822,0.3180347012951,26,0.3125,17,18,11,0.530794946237075,1.36473426071735,1.53395618002984
"21",-1.26370275649184,0.295606980676448,2,0.375,10,20,13,0.924643790135939,0.458294898384597,0.535083491823433
"22",0.668862806782887,0.514461639555024,66,0.76153564453125,17,20,17,0.728050762973126,1.2134577212459,0.950536496011595
"23",0.418529038323127,0.681491206134094,74,0.781951904296875,20,18,18,0.98647566370521,1.05916443410378,1.1341146888514
"24",2.8093457331242,0.0111933528214977,175,0.00729560852050781,20,20,20,0.98584507975152,1.32587314220925,1.32022159870501
"25",-0.345469275503165,0.734241843089785,76,1,19,20,18,0.517109942278312,0.95272001546764,0.858016581252425
"26",2.73064064902311,0.0137273142460941,150,0.0258216857910156,20,19,20,0.509598550051627,1.32757644926361,1.32398852630897
"27",0.809471420077396,0.444883671278935,22,0.640625,14,20,11,0.314519401604518,1.32092298751599,0.837048125764979
"28",-1.10998947499807,0.295778954279556,20,0.4921875,12,20,16,0.938668495157206,0.738774453819345,0.639220645942222
"29",1.7574723964239,0.0979509531200362,109,0.132369995117188,20,17,20,0.971401582093952,1.21842640787772,1.22173995557102
"30",1.29806686207265,0.209801554591342,140,0.202449798583984,20,20,20,0.950211950466157,1.20552558432734,1.30355183873582
"31",1.1408045589964,0.274532156667687,74,0.1937255859375,20,14,20,0.259095555239242,1.0972367530037,1.16585004495959
"32",2.02522127245712,0.0774290795258781,37,0.09765625,12,20,15,0.310593411955214,2.67900006868616,2.12735191081138
"33",2.083258584241,0.0638476608589309,53,0.0830078125,16,19,16,0.417767106633326,1.43183664790374,1.45901483770992
"34",1.32747959150588,0.201902162874519,103,0.468292236328125,20,18,20,0.0420216181439832,1.27790391020668,1.32535313399197
"35",-0.064362496893982,0.949478873829502,74,0.926513671875,17,20,20,0.831659823702521,0.985865352588829,0.914204354678548
