"","test_stat","tt_pval","wc_stat","wc_pval","x.obs","y.obs","norm.test.pval","arith_fold_exp.xy","geom_fold_exp.xy"
"mmu.miR.324.5p.000539",-0.261244108002843,0.801423724106781,14,0.640625,9,19,0.449395776170315,0.794793550346206,0.609155808825922
"mmu.miR.328.000543",-1.92272578154518,0.0696352985150732,68,0.176853179931641,20,20,0.118219692800558,0.826133204692364,0.796580766370299
"mmu.miR.331.3p.000545",-2.49058166397629,0.0221761017765525,46,0.026641845703125,20,20,0.53124728308932,0.658148259178408,0.663610238588234
"mmu.miR.340.3p.002259",-1.29627982039347,0.211253376854093,60,0.168792724609375,20,19,0.812257681821891,0.801941181406169,0.775289632921748
"mmu.miR.340.5p.002258",-1.54194073138777,0.145384005856135,34,0.15142822265625,16,19,0.69688078627713,0.696096648808694,0.650408206726542
"mmu.miR.342.3p.002260",2.21568755678688,0.0391222449378464,187,0.00120925903320312,20,20,1.36297047732338e-06,2.22799828674973,1.89051710298393
"mmu.miR.34b.3p.002618",0.502503667076124,0.62522088158846,43,0.791015625,13,19,0.854537516660418,1.35890056894591,1.38130866776281
"mmu.miR.365.001020",-2.48228168230594,0.0225668387715323,50,0.0399894714355469,20,20,0.625565326839263,0.658637295812017,0.741369079346397
"mmu.miR.375.000564",-4.00733946389352,0.000753454072985955,19,0.000585556030273438,20,20,0.469409760740869,0.725831144769549,0.710133736009028
"mmu.miR.423.5p.002340",-1.41771830450998,0.194024706858886,10,0.1640625,12,15,0.00221396031896643,0.423292852677243,0.518750548909524
"mmu.miR.429.001077",-1.36991960629469,0.193908727864772,28,0.13525390625,15,19,0.493701374361431,0.809175365972424,0.780565941958144
"mmu.miR.484.001821",-1.81192963092123,0.0858334947359176,54,0.058258056640625,20,20,0.000757736501701671,0.751128445930469,0.648892861935249
"mmu.miR.532.3p.002355",-0.93171462975889,0.363172939003434,86,0.498008728027344,20,20,0.0100761693430623,0.824319325900641,0.714033269511591
"mmu.miR.532.5p.001518",-1.53217247010329,0.142866986341166,43,0.0360679626464844,20,19,0.253322080606788,0.623703418884176,0.631794036924152
