"","test_stat","tt_pval","mw_stat","mw_pval","x.obs","y.obs","X_out.obs","y_out.obs","Xy_norm_test","arith_fold_exp.xy","geom_fold_exp.xy"
"U6.snRNA.001973",0.868770056115386,0.411065737369001,17,0.420634920634921,15,15,5,3,0.136774037793566,1.23053708286806,1.26655842120788
"U87.001712",-0.706669797383878,0.499849441354365,8,0.420634920634921,15,15,5,5,0.737046823867551,0.899004642370013,0.895161661123711
"Y1.001727",1.55436985629868,0.184993139725798,17,0.420634920634921,15,15,5,5,0.00431255163333526,1.82581690520077,1.62620812953051
"mmu.let.7b.000378",1.00249954885038,0.347257952176477,16,0.547619047619048,15,15,5,5,0.725311765273463,1.23477884711943,1.22879921471255
"mmu.let.7c.000379",1.87051936457551,0.104579686845402,21,0.0952380952380952,15,15,5,4,0.0315326949130699,1.34134242034438,1.33071153895109
"mmu.let.7d.002283",0.337435313216248,0.747226013120677,15,0.69047619047619,15,15,5,5,0.851044543980555,1.04297883519239,1.06174649242776
"mmu.let.7e.002406",3.22531953718897,0.0208997534758097,23,0.0317460317460317,15,15,5,5,0.273250276063911,1.59129544492826,1.67915590766793
"mmu.let.7g.002282",0.5387986725389,0.60562331970043,15,0.69047619047619,15,15,5,5,0.530085772381427,1.11170484068421,1.14071106072576
"mmu.let.7i.002221",0.693014159362472,0.510688273641726,15,0.69047619047619,15,14,5,5,0.849890290658921,1.12106249797621,1.09888854264749
"mmu.miR.100.000437",-1.94397923642208,0.123453113579806,7,0.30952380952381,14,14,5,5,0.000388142990794456,0.122817846742152,0.246354274875894
"mmu.miR.101a.002253",-0.11834164411783,0.908842981125295,11,0.841269841269841,15,14,4,4,0.884556255459012,0.970542630788131,0.943053332996862
"mmu.miR.103.000439",0.262511144059469,0.800160047580126,13,1,15,13,4,4,0.848795523271818,1.10308586564558,1.0833556893806
"mmu.miR.106a.002459",-2.4981566632546,0.0655644270700982,2,0.0317460317460317,15,15,5,5,0.00172085356835909,0.170011349640465,0.220287456062
"mmu.miR.106b.000442",0.383116280518437,0.718336410717287,11,0.841269841269841,15,15,5,3,0.20737156358299,1.09647264466597,1.00152691227774
"mmu.miR.10a.000387",-0.411616537354176,0.691701850263848,11,0.841269841269841,15,15,5,5,0.218100558409965,0.932121022872856,0.915341087033366
"mmu.miR.10b.002218",-1.27358987045439,0.264052049024189,8,0.73015873015873,10,14,4,5,0.0206835712864918,0.379263515308479,0.628399618737938
"mmu.miR.124.001182",-1.07309618296206,0.356778246790429,9,0.904761904761905,10,10,3,5,0.0583370994637565,0.484940785700612,0.744050019759441
"mmu.miR.125a.5p.002198",0.358831468321193,0.731077383525528,14,0.841269841269841,15,15,5,4,0.431524184293737,1.12506972353111,0.982755937281692
"mmu.miR.125b.5p.000449",0.735328166851672,0.49040586081245,15,0.69047619047619,14,14,5,4,0.391625792276258,1.25206074102252,1.093746143032
"mmu.miR.126.3p.002228",-0.330579379204501,0.750799365294017,9,0.547619047619048,12,9,4,5,0.618361972792832,0.876037112106594,0.750301062958445
"mmu.miR.128a.002216",-1.6568755203149,0.195583716571044,5,0.285714285714286,9,8,5,4,0.0274473119065027,0.187253848640606,0.361319108296568
"mmu.miR.130a.000454",-2.49491222206433,0.061536708954909,3,0.0555555555555556,14,13,5,5,0.0178376628555525,0.397738301114232,0.438084869413004
"mmu.miR.130b.000456",0.236841583410368,0.81875563020904,15,0.69047619047619,15,15,4,4,0.760449994314739,1.06072919266862,1.0567039057341
"mmu.miR.139.5p.002289",-0.157975161765791,0.87843637975348,12,1,15,15,5,4,0.92977691151974,0.979771589375394,0.972538709914382
"mmu.miR.140.001187",0.559989759628679,0.590863765730739,17,0.420634920634921,15,14,4,4,0.580332260251018,1.08887498657046,1.08959926360827
"mmu.miR.141.000463",-0.20283258768126,0.848111335137641,15,0.69047619047619,15,15,5,4,0.229316557099843,0.965545568771234,0.906415197159802
"mmu.miR.142.3p.000464",1.28868872090575,0.254926181023391,15,0.285714285714286,10,11,4,3,0.81122712114295,1.61136568911718,1.63967198486471
"mmu.miR.145.002278",0.28952288469022,0.780085343862049,15,0.69047619047619,13,12,5,4,0.324137453498541,1.14339861698687,1.19359410734776
"mmu.miR.146a.000468",1.88180256794147,0.128327243131791,25,0.00793650793650794,15,15,4,5,0.473852558377975,1.63479145537304,1.54533621463983
"mmu.miR.146b.001097",-0.125195558396727,0.904021693554375,12,1,15,15,4,5,0.801561296602582,0.975582707690911,1.0171904476931
"mmu.miR.148a.000470",0.639333825378695,0.546012741348571,14,0.841269841269841,15,15,5,4,0.00693384071211644,1.23930674978049,1.10014874592277
"mmu.miR.148b.000471",0.807904070984005,0.45214005573842,18,0.30952380952381,8,11,5,5,0.737863836796613,1.39279496242812,1.99917318607542
"mmu.miR.151.3p.001190",-1.39722431721366,0.221965705515013,6,0.222222222222222,14,13,5,4,0.337995059673125,0.619015498053581,0.651473558798446
"mmu.miR.152.000475",-0.163311026296917,0.874701574322318,14,0.841269841269841,15,15,5,3,0.742633194863075,0.950473359748224,0.952960067663029
"mmu.miR.155.002571",0.157044210338626,0.881446344701166,10,0.69047619047619,14,13,4,4,0.303321510975268,1.05330899465758,0.921981579514671
"mmu.miR.15b.000390",0.405704900059625,0.696031040235838,14,0.841269841269841,15,15,5,5,0.627036948018334,1.06440326562994,1.05581573151741
"mmu.miR.16.000391",-0.414792726118718,0.689399123558297,13,1,15,15,5,3,0.0433147075019147,0.921060749156729,0.902743759490423
"mmu.miR.17.002308",-1.23523204451087,0.25434327419498,7,0.30952380952381,15,15,5,5,0.853743017533717,0.769296255374002,0.727163707616883
"mmu.miR.181a.000480",-1.50315043982374,0.186167667758646,8,0.420634920634921,15,15,5,5,0.220455340724451,0.647886486981535,0.685005528770655
"mmu.miR.181c.000482",-1.57887928579334,0.160260059061071,5,0.150793650793651,15,15,5,5,0.744947758322238,0.697375524540805,0.700929172202921
"mmu.miR.182.002599",-0.427293581017335,0.682904906929529,12,1,15,15,5,5,0.317660668693366,0.951248491307087,0.961083123910032
"mmu.miR.183.002269",0.395735241376759,0.70616057812595,16,0.547619047619048,15,15,5,4,0.0954253744925485,1.0673482014867,1.09548202761154
"mmu.miR.186.002285",0.126892367070581,0.902364879334066,15,0.69047619047619,15,15,4,5,0.561628784819661,1.03231147393922,0.95633992051376
"mmu.miR.188.5p.002320",0.299033004165567,0.777059969166416,15,0.69047619047619,15,13,5,5,0.977013110321714,1.08003239223477,1.24090488374409
"mmu.miR.18a.002422",0.00504822639176722,0.996159135962368,12,1,14,15,5,4,0.594060569834389,1.00111525965765,0.920815911561179
"mmu.miR.191.002299",-1.26137582514932,0.248537363111467,6,0.222222222222222,15,15,5,4,0.871589269043855,0.800138898343316,0.813931145205825
"mmu.miR.192.000491",-1.37885787576796,0.206584782015404,6,0.222222222222222,15,15,5,5,0.360540276891696,0.773787705757417,0.775248742799927
"mmu.miR.193b.002467",-4.41565801189514,0.00237207350864572,0,0.00793650793650794,15,15,5,5,0.371469214012824,0.629140630947923,0.625084181160724
"mmu.miR.194.000493",0.171431822383446,0.868147861159881,12,1,15,15,5,4,0.801298676647895,1.01948345535604,1.022900952891
"mmu.miR.195.000494",-3.45549677278226,0.0105841755885328,2,0.0317460317460317,15,15,4,5,0.303812930583248,0.756384295262156,0.757734113273898
"mmu.miR.196b.002215",0.497355763030874,0.634798353788675,14,0.841269841269841,15,15,5,5,0.833932625051626,1.14000873281136,1.0796513567077
"mmu.miR.19a.000395",-1.47177234503295,0.179296369522327,6,0.222222222222222,15,15,5,5,0.158084724450879,0.869688056278464,0.868377749711433
"mmu.miR.19b.000396",-3.01431550300469,0.0167790655163112,2,0.0317460317460317,15,15,5,5,0.996383271424297,0.815335977447454,0.814152092900065
"mmu.miR.200a.000502",1.49120553561159,0.180491932922656,20,0.150793650793651,15,15,4,5,0.633307849518438,1.18205603045781,1.17242677590937
"mmu.miR.200b.002251",-2.57715604504218,0.0475891268346028,2,0.0317460317460317,15,15,5,5,0.122549451476264,0.742624310035467,0.751828117563811
"mmu.miR.200c.002300",-0.571283485046541,0.585339172412721,10,0.69047619047619,15,15,5,5,0.116992991712848,0.876365277429762,0.823139959217785
"mmu.miR.203.000507",-0.694404750434056,0.513004598445285,9,0.547619047619048,15,15,5,5,0.419669279749662,0.940652782879684,0.931480530040501
"mmu.miR.205.000509",-0.892825431303942,0.398645754194511,10,0.69047619047619,15,14,4,4,0.112403989245225,0.818464655401982,0.787949923317679
"mmu.miR.20a.000580",0.0393664660940224,0.970067742335959,14,0.841269841269841,15,15,5,5,0.996115619072336,1.00237440020787,0.996880322876515
"mmu.miR.20b.001014",-0.113156219412632,0.912769935611654,11,0.841269841269841,15,15,5,5,0.128353441053033,0.985748626167503,0.979369132321625
"mmu.miR.21.000397",0.287080907772993,0.781395682492263,14,0.841269841269841,15,15,5,4,0.0684615512215231,1.09507183779746,1.10114319601457
"mmu.miR.215.001200",-1.20331166190567,0.266164499333594,8,0.420634920634921,15,15,3,5,0.0689368536232087,0.853525653996423,0.841912616243274
"mmu.miR.218.000521",-0.967086658486984,0.362460067111152,7,0.30952380952381,15,15,5,5,0.88646721691501,0.837710976143585,0.820258689288283
"mmu.miR.222.002276",0.128955102473158,0.902972519030833,14,0.841269841269841,15,15,5,3,0.62895247935355,1.02709295955894,0.940351680197096
"mmu.miR.224.002553",-2.22115541477905,0.0778933326715454,2,0.0317460317460317,15,14,5,4,0.876276530034607,0.616885385972972,0.635584658753964
"mmu.miR.23b.000400",0.342034566108216,0.74133283025676,13,1,15,15,4,4,0.661737879840635,1.12471282892931,1.12964855037022
"mmu.miR.24.000402",1.59725611137933,0.156244111340613,19,0.222222222222222,15,15,5,5,0.493232125313308,1.12971391068091,1.13705731357397
"mmu.miR.25.000403",0.736449644045506,0.492581021479069,12,1,15,15,5,4,0.00142863600994286,1.39397003050779,1.18822611445653
"mmu.miR.26a.000405",0.166869982794786,0.871622092482236,13,1,15,15,5,5,0.448704835055182,1.01477948311992,1.0157944695806
"mmu.miR.26b.000407",-0.214062748828318,0.836542826358546,10,0.69047619047619,15,15,3,5,0.113349257098332,0.965410060807707,0.988900775176025
"mmu.miR.27a.000408",0.429730160281052,0.678912696612391,15,0.69047619047619,15,14,5,5,0.711651198824546,1.11866077707528,1.09604348872202
"mmu.miR.27b.000409",0.926378202354443,0.391309418517943,15,0.69047619047619,15,14,5,4,0.0259218305154661,1.19071584361928,1.15391651945939
"mmu.miR.28.000411",-0.380855486209332,0.713533167391215,13,1,15,14,5,5,0.527513999750979,0.908992416610188,0.907935276925562
"mmu.miR.29a.002112",-0.993821892588446,0.376555666406201,11,0.841269841269841,15,15,4,3,0.294176644452621,0.0377997287725641,0.414944214139525
"mmu.miR.29b.000413",0.520533087310244,0.621711893660904,15,0.69047619047619,13,13,5,5,0.491303249968365,1.21022493134389,1.01893461314355
"mmu.miR.29c.000587",0.993114442627539,0.35389425167729,17,0.420634920634921,15,15,5,5,0.404133719981529,1.11923077964731,1.11146934425921
"mmu.miR.301a.000528",0.890577482233128,0.4137079271745,16,0.547619047619048,15,15,5,5,0.634749077047838,1.11654324615025,1.14659093426431
"mmu.miR.301b.002600",-0.19764521332652,0.849201864379848,12,1,15,15,5,5,0.896127111903251,0.966260729088003,0.937876803434743
"mmu.miR.30a.000417",-0.56441125475471,0.594213012687868,11,0.841269841269841,15,15,4,5,0.718340417621653,0.939359970043346,0.917657486716888
"mmu.miR.30b.000602",0.0314849036814197,0.975692692148773,13,1,15,15,5,4,0.203168327149056,1.00739912145593,0.973425508414311
"mmu.miR.30c.000419",0.140388264989572,0.892409696787881,13,1,15,15,3,5,0.52911778502112,1.0157752989843,1.00629578042261
"mmu.miR.30d.000420",-0.394661442037067,0.703409072413573,10,0.69047619047619,14,14,5,5,0.579863310643445,0.93177813367516,0.927805271194131
"mmu.miR.30e.002223",-0.688237508960926,0.510773403855002,9,0.547619047619048,15,15,5,5,0.617325845869752,0.901683577968556,0.898274179836161
"mmu.miR.31.000185",1.71567348260853,0.130726831222557,17,0.420634920634921,15,15,3,4,0.0947411427261052,1.65974390530211,1.60400689235326
"mmu.miR.320.002277",-0.0205346676649119,0.984202147218818,13,1,15,15,5,4,0.444460207081364,0.995944960984439,0.970603458286013
"mmu.miR.322.001076",-1.40548724197627,0.225414040619688,10,0.69047619047619,11,10,4,5,0.00299657705715714,0.454835491343401,0.562084744504653
"mmu.miR.324.5p.000539",-0.683148625738066,0.516524616206532,10,0.69047619047619,12,12,5,5,0.118166648039549,0.729918239368844,0.766531862735286
"mmu.miR.328.000543",0.567958288083053,0.593772333361333,12,1,15,15,5,4,0.309657772266422,1.10664062017203,1.06609140479153
"mmu.miR.331.3p.000545",-0.201754234067124,0.845171100087402,12,1,15,15,5,5,0.713549088495322,0.97127356789552,0.9643763588759
"mmu.miR.340.3p.002259",0.34149333475137,0.741553781225315,15,0.69047619047619,15,14,4,4,0.515906950049663,1.07636394968706,1.08764285064449
"mmu.miR.340.5p.002258",0.562041725983919,0.592304845289637,15,0.69047619047619,11,13,4,5,0.59486792266006,1.27492474888283,1.16460492298054
"mmu.miR.342.3p.002260",-1.01096735275678,0.344231474346547,6,0.222222222222222,15,15,4,3,0.216589622498048,0.790296498474142,0.754135611196489
"mmu.miR.34b.3p.002618",0.244754569408001,0.812814939768717,14,0.841269841269841,12,12,5,5,0.253964721493774,1.13056135882337,1.08679261823698
"mmu.miR.365.001020",-0.930540824333437,0.38441679686161,9,0.547619047619048,15,15,5,4,0.362158053496054,0.721793604786035,0.758563896853949
"mmu.miR.375.000564",1.05993036804439,0.329983927015399,17,0.420634920634921,15,15,3,4,0.984303619511382,1.09062109477092,1.10263587913072
"mmu.miR.423.5p.002340",0.134413854482664,0.897242669397202,15,0.285714285714286,9,11,3,4,0.788652255045931,1.10510993523726,1.93222301957377
"mmu.miR.429.001077",-0.812278118499877,0.440133155135298,10,0.69047619047619,13,14,5,4,0.91320014845555,0.854947685498664,0.8401142536305
"mmu.miR.484.001821",-0.474631799455301,0.649678084087751,10,0.69047619047619,15,15,3,5,0.803484833847618,0.936831048844991,0.948095402696616
"mmu.miR.532.3p.002355",2.5855888109764,0.0534878775611339,21,0.0952380952380952,15,14,5,5,0.119691988999369,2.80669515615868,2.54277369274904
"mmu.miR.532.5p.001518",-0.0346056852507672,0.973437060992599,9,0.547619047619048,14,15,4,4,0.420270456144762,0.987334108500506,0.945631273106687
"mmu.miR.574.3p.002349",-0.604254884937784,0.562441773556473,9,0.547619047619048,15,15,5,5,0.808407156846525,0.872824496616848,0.847396691804258
"mmu.miR.652.002352",1.57563984545981,0.173443986684983,19,0.222222222222222,15,14,5,5,0.0627921616372548,1.67725804651462,1.57528480806131
"mmu.miR.671.3p.002322",1.21168887791907,0.269552775064443,17,0.420634920634921,12,11,5,5,0.109178221117238,1.65829828088463,1.65158289790422
"mmu.miR.744.002324",0.010103589906064,0.992192052934716,12,1,15,15,5,3,0.889794211738172,1.00250439798789,0.96501801370743
