"","test_stat","tt_pval","wc_stat","wc_pval","x.obs","y.obs","norm.test.pval","arith_fold_exp.xy","geom_fold_exp.xy"
"mmu.miR.671.3p.002322",3.55935623957514,0.00392848816924188,81,0.010498046875,16,17,0.439985606314883,0.742416500586685,NaN
"mmu.miR.744.002324",-1.11113501591527,0.280373844106904,80,0.368276596069336,20,20,0.890644811052101,1.35460129986581,NaN
"mmu.miR.7b.002555",-2.22544783429143,0.038357287196379,54,0.058258056640625,20,20,0.86005947503073,1.29546193119663,NaN
"mmu.miR.872.002264",0.307253412916187,0.761992785866173,113,0.784126281738281,20,20,0.00853834213712988,1.03966995395587,1.04177180273767
"mmu.miR.92a.000430",2.41369368891072,0.0260516684858239,165,0.0239505767822266,20,20,0.140866130415173,1.06403698099924,1.06131878330274
"mmu.miR.93.001090",-0.0799368854000245,0.937123418726403,123,0.521673202514648,20,20,0.00241581093332513,0.989500582600892,1.03712363359852
"mmu.miR.99a.000435",-0.903819523336428,0.383876653989876,31,0.339599609375,14,18,0.520960548990789,1.07387405706008,NaN
"mmu.miR.99b.000436",-1.94080099080132,0.0690503681772523,43,0.0665359497070313,18,20,0.561914015497599,1.17644054980932,NaN
"rno.miR.190b.002048",3.06874234388459,0.00632005111271358,172,0.0106887817382812,20,20,0.922726308793231,1.07135403726897,1.07283656380831
"rno.miR.196c.002049",-1.36703175606843,0.187573001044078,68,0.176853179931641,20,20,0.786008240242775,0.78524203417214,0
"rno.miR.224.000599",-2.97916622911399,0.00804136327070294,26,0.00391769409179688,19,20,0.199155982483576,1.36823169699616,NaN
"rno.miR.345.3p.002061",2.29405698203694,0.0356595646556141,122,0.030517578125,18,19,0.401729350943961,0.764993857947344,NaN
"snoRNA135.001230",-3.41763848059947,0.00288692463503067,27,0.00232505798339844,20,20,0.710763933181909,0.765727311642242,0.665635790481139
"snoRNA202.001232",-1.36595110985854,0.187906262815435,72,0.230512619018555,20,20,0.826967995500752,0.971628897915297,0.971389031900698
