"","test_stat","tt_pval","mw_stat","mw_pval","x.obs","y.obs","X_out.obs","y_out.obs","Xy_norm_test","arith_fold_exp.xy","geom_fold_exp.xy"
"U6.snRNA.001973",0.0221794346226183,0.982981691832552,15,0.69047619047619,15,15,5,5,0.395216001291511,1.00618183532721,1.08311523273612
"U87.001712",-0.749080195234972,0.481012615807617,9,0.547619047619048,15,15,5,5,0.457038221837104,0.85050012998799,0.884207210763349
"Y1.001727",0.58184762246053,0.579462350498819,15,0.69047619047619,15,15,5,5,0.142526590692816,1.23904220356126,1.17128270197948
"mmu.let.7b.000378",1.32169404952308,0.2329507729006,17,0.420634920634921,15,15,5,3,0.149705720733045,1.29219098832716,1.26659716567318
"mmu.let.7c.000379",1.57001048113325,0.157636527482862,21,0.0952380952380952,15,15,5,3,0.0114568433570723,1.29178609900745,1.28855057805331
"mmu.let.7d.002283",1.28232995153854,0.244661966421989,17,0.420634920634921,15,15,5,5,0.312119070377583,1.17214276306366,1.20354159211271
"mmu.let.7e.002406",4.37978945366677,0.00503201195735175,25,0.00793650793650794,15,15,5,5,0.225772091117835,1.81538495782908,1.90696187890621
"mmu.let.7g.002282",1.53387556437081,0.163620054203804,19,0.222222222222222,15,15,5,4,0.390771481751849,1.33230059045039,1.35407572469278
"mmu.let.7i.002221",1.55900186566949,0.17135783706307,19,0.222222222222222,15,15,5,4,0.144830952596557,1.29063201091421,1.25823530385561
"mmu.miR.100.000437",-0.916460537137854,0.399593436402984,9,0.547619047619048,14,11,5,5,0.196082168494468,0.687086486866431,0.82196604520926
"mmu.miR.101a.002253",0.360960268810191,0.727982264028734,13,1,15,14,4,5,0.0897813703614428,1.10095045136088,1.08459923104998
"mmu.miR.103.000439",0.961760120001681,0.367857154717602,19,0.222222222222222,15,14,4,4,0.240755023435113,1.50425505524297,1.61157652845428
"mmu.miR.106a.002459",0.355647249963485,0.731464872344609,15,0.69047619047619,15,15,5,5,0.472212289786976,1.10634073295837,1.09361663797242
"mmu.miR.106b.000442",0.524985665574799,0.615890654152805,13,1,15,15,5,5,0.0515232057839115,1.16118523690967,1.10438986598457
"mmu.miR.10a.000387",-1.49744550977618,0.17951057700863,6,0.222222222222222,15,15,5,5,0.385080710419068,0.8073096969435,0.780744825509296
"mmu.miR.10b.002218",-0.564938318768633,0.59704870788003,12,0.73015873015873,10,10,4,4,0.192961955317908,0.634998739865463,0.871947711797857
"mmu.miR.124.001182",0.0055370366597466,0.995728299403272,13,1,10,9,3,4,0.353082442149055,1.00175819490724,1.23669936374198
"mmu.miR.125a.5p.002198",0.850519349250179,0.43586512970566,17,0.420634920634921,15,14,5,5,0.4044669665082,1.31049811377726,1.10767238294527
"mmu.miR.125b.5p.000449",0.265996121568885,0.797676266210231,15,0.69047619047619,14,12,5,5,0.928695911489467,1.08687380866668,0.976117214588799
"mmu.miR.126.3p.002228",0.184236613508411,0.860819433814586,11,0.841269841269841,12,12,4,4,0.0842955616326057,1.07628739025122,0.893911896367661
"mmu.miR.128a.002216",-1.09933161301669,0.327575878160468,9,0.547619047619048,9,9,5,4,0.727837739544408,0.593945975360829,0.712728270511878
"mmu.miR.130a.000454",-1.20190554706266,0.288540958809563,11,0.841269841269841,14,11,5,5,0.0045623656683968,0.609520435567436,0.718602347223084
"mmu.miR.130b.000456",-1.46709599005724,0.182371515503388,5,0.150793650793651,15,15,4,5,0.0762759951460104,0.706644167065084,0.703780521569638
"mmu.miR.139.5p.002289",1.83147583850776,0.117914851504891,20,0.150793650793651,15,15,5,3,0.630587233725668,1.24842648143047,1.23153635711006
"mmu.miR.140.001187",0.519986738677112,0.61718089586593,14,0.841269841269841,15,14,4,5,0.964637476452795,1.08239270977627,1.08893175750307
"mmu.miR.141.000463",-0.141094469585491,0.891838848438891,12,1,15,15,5,5,0.659270157787004,0.972065552674599,0.929022577503001
"mmu.miR.142.3p.000464",0.911105017062482,0.393540491845258,14,0.412698412698413,10,11,4,5,0.247582355005426,1.47575625675069,1.7052504342436
"mmu.miR.145.002278",-0.156949215827327,0.879367115459826,12,1,13,10,5,5,0.267108273022839,0.950294724813384,0.842606535951163
"mmu.miR.146a.000468",0.966777151313353,0.379370141006608,16,0.547619047619048,15,15,4,4,0.704457565171124,1.25998019327003,1.19989857792401
"mmu.miR.146b.001097",0.259453444684515,0.801986569632732,13,1,15,15,4,4,0.514180924738068,1.04431982403622,1.05762280568661
"mmu.miR.148a.000470",0.689795973627837,0.511243109870191,16,0.547619047619048,15,15,5,4,0.0230279944385484,1.30061142705114,1.23472914166117
"mmu.miR.148b.000471",1.71989756770072,0.126464072060782,20,0.150793650793651,8,9,5,5,0.997825082940321,1.69843430344932,2.07557673795559
"mmu.miR.151.3p.001190",-2.4727044453574,0.0465655935384037,2,0.0317460317460317,14,10,5,5,0.202544603265341,0.57935913813283,0.575690151339959
"mmu.miR.152.000475",1.91763478376938,0.107024399329003,20,0.150793650793651,15,15,5,5,0.422745413900127,1.6542737089365,1.5631013958916
"mmu.miR.155.002571",0.249652857407506,0.814171710380692,9,0.547619047619048,14,14,4,4,0.442273415211933,1.08441397603589,0.930975753737281
"mmu.miR.15b.000390",0.607472909722452,0.560489986867172,17,0.420634920634921,15,15,5,4,0.408392910534233,1.105745131835,1.10147141822908
"mmu.miR.16.000391",0.391932508044658,0.706310191242168,13,1,15,15,5,4,0.254339781252295,1.081626721603,1.05081812674416
"mmu.miR.17.002308",0.0625535171461084,0.95181123228181,13,1,15,15,5,5,0.598123549688672,1.01514794156611,0.978181016400122
"mmu.miR.181a.000480",0.300890409887945,0.771170053947486,14,0.841269841269841,15,15,5,3,0.724520505454772,1.06980830152902,1.07416924035232
"mmu.miR.181c.000482",-1.09592798579552,0.322634657592046,9,0.547619047619048,15,15,5,4,0.985109319360841,0.68256068781753,0.738324839058201
"mmu.miR.182.002599",1.10864408377199,0.302364728719831,18,0.30952380952381,15,15,5,5,0.722408431037045,1.12888265167204,1.14015638319755
"mmu.miR.183.002269",0.704406768199949,0.510201575516814,16,0.547619047619048,15,13,5,5,0.842696247448403,1.14691134331131,1.214242045235
"mmu.miR.186.002285",-0.290728911929557,0.778683675601121,14,0.841269841269841,15,15,4,5,0.558754670930632,0.923135118107828,0.862805770769176
"mmu.miR.188.5p.002320",-1.4695958562567,0.211841535041259,7,0.30952380952381,15,15,5,5,0.00387805782766578,0.583510835185963,0.671041499417109
"mmu.miR.18a.002422",0.0279425435696944,0.978393950062623,14,0.841269841269841,14,12,5,5,0.386818774847793,1.00837430880659,1.00230405418649
"mmu.miR.191.002299",0.0865991372789204,0.933348425591796,15,0.69047619047619,15,15,5,5,0.14914222182751,1.01150655890153,0.996160374847372
"mmu.miR.192.000491",-0.204663009797957,0.843270208978797,10,0.69047619047619,15,15,5,4,0.603678752992544,0.966342197263178,0.948570023899537
"mmu.miR.193b.002467",-0.776949311250494,0.463822047619621,10,0.69047619047619,15,15,5,5,0.289910385929971,0.886497156329122,0.901048896520054
"mmu.miR.194.000493",-0.639212294454634,0.542677325276069,10,0.69047619047619,15,15,5,3,0.41335838321987,0.920299908968738,0.925308778676489
"mmu.miR.195.000494",0.253992505893059,0.807166652458581,14,0.841269841269841,15,15,4,5,0.848065911638749,1.02586025827073,1.03614952085532
"mmu.miR.196b.002215",1.4378020902904,0.21351847958284,17,0.420634920634921,15,15,5,4,0.0508221949526729,1.45773669021246,1.33321903854619
"mmu.miR.19a.000395",0.990789626997381,0.35355373325644,19,0.222222222222222,15,15,5,4,0.353611535755663,1.13804863477665,1.15333180772721
"mmu.miR.19b.000396",1.61589167423158,0.14984080107804,20,0.150793650793651,15,15,5,4,0.330228260254473,1.1733375699049,1.18345029287322
"mmu.miR.200a.000502",0.186764749536029,0.857786714802193,13,1,15,15,4,5,0.506420089074228,1.0347536938176,1.06702812768923
"mmu.miR.200b.002251",1.25499911536496,0.25680549765682,18,0.30952380952381,15,15,5,5,0.659058070321441,1.1601340301594,1.18474939557999
"mmu.miR.200c.002300",1.39087025199346,0.21964027723541,15,0.69047619047619,15,15,5,4,0.00857056013421271,1.43871332558436,1.33677553315537
"mmu.miR.203.000507",1.37163815437806,0.232556923045275,16,0.547619047619048,15,15,5,4,0.0127809249427874,1.12927432397149,1.11622758254303
"mmu.miR.205.000509",0.821241338781617,0.442439997017805,19,0.222222222222222,15,14,4,4,0.446424353224182,1.17629593571891,1.10792940208706
"mmu.miR.20a.000580",2.75296319533895,0.0257953377565618,23,0.0317460317460317,15,15,5,4,0.398591408422998,1.31996712682667,1.33042792336787
"mmu.miR.20b.001014",1.07767993524146,0.326258072997847,20,0.150793650793651,15,15,5,4,0.560494935514851,1.35409475366138,1.52991926750393
"mmu.miR.21.000397",0.94931183134269,0.370506992223115,18,0.30952380952381,15,15,5,4,0.0901555597765353,1.35573855896412,1.3822554935918
"mmu.miR.215.001200",-2.65356463439148,0.029988149568454,2,0.0317460317460317,15,15,3,5,0.148964199674657,0.676550312891368,0.672581894606091
"mmu.miR.218.000521",1.07263837050323,0.318839476863144,18,0.30952380952381,15,15,5,5,0.266867892902248,1.24543986663083,1.22924247636269
"mmu.miR.222.002276",1.14103272169525,0.298336036299141,17,0.420634920634921,15,15,5,5,0.706544562961315,1.33868793031202,1.26918212194386
"mmu.miR.224.002553",0.76187275158014,0.468331732451953,17,0.420634920634921,15,13,5,4,0.78618421905028,1.11613433252288,1.12598193201785
"mmu.miR.23b.000400",0.565763549051125,0.596939424643883,11,0.841269841269841,15,14,4,5,0.628682217445756,1.17102816618802,1.07865156822017
"mmu.miR.24.000402",2.51370801615521,0.0439270967681892,21,0.0952380952380952,15,15,5,3,0.525700987805264,1.24250156627621,1.25610278129721
"mmu.miR.25.000403",0.246918070926285,0.812227106365429,9,0.547619047619048,15,15,5,4,0.0021424460798854,1.11626490401931,0.975774228487437
