"","test_stat","tt_pval","mw_stat","mw_pval","x.obs","y.obs","X_out.obs","y_out.obs","Xy_norm_test","arith_fold_exp.xy","geom_fold_exp.xy"
"U6.snRNA.001973",-1.16965964002156,0.305275624677907,6,0.222222222222222,15,15,5,4,0.694629471267486,0.432636480334111,0.585673957623506
"U87.001712",-0.413225756737586,0.694261095140431,12,1,15,15,5,5,0.842315038452571,0.903114276383454,0.974707485160002
"Y1.001727",0.325667860429872,0.754274270265764,18,0.30952380952381,15,15,5,4,0.00108141130296155,1.19756010235693,1.4372502544736
"mmu.let.7b.000378",1.15264099303219,0.282616837783295,19,0.222222222222222,15,15,5,5,0.413777286336639,1.34589612809396,1.40682453762899
"mmu.let.7c.000379",1.44862559971146,0.185731183224617,19,0.222222222222222,15,15,5,5,0.319242417346242,1.32371250044766,1.3585980678385
"mmu.let.7d.002283",0.627814163792559,0.555589301164199,16,0.547619047619048,15,15,5,5,0.988110248855851,1.09871850501374,1.13812785627792
"mmu.let.7e.002406",1.06810928723328,0.34213023338612,16,0.547619047619048,15,15,5,5,0.259896858003615,1.36548864975384,1.70860984976481
"mmu.let.7g.002282",0.517425030726201,0.621750892758059,18,0.30952380952381,15,15,5,4,0.632592181321848,1.1279563481123,1.18748617663884
"mmu.let.7i.002221",1.14220443932656,0.294681544236987,18,0.30952380952381,15,15,5,4,0.973557937772752,1.20502210396422,1.18206022700923
"mmu.miR.100.000437",-0.963289704059162,0.367390222209932,8,0.420634920634921,14,13,5,5,0.22777638738065,0.759125216520577,0.773751744418572
"mmu.miR.101a.002253",-0.714890139424703,0.495139472038917,9,0.547619047619048,15,15,4,4,0.687231027200542,0.837466322633548,0.812030125155547
"mmu.miR.103.000439",-0.709478938564176,0.498327420224109,8,0.420634920634921,15,13,4,5,0.00422933647004681,0.768176779254993,0.75841158092749
"mmu.miR.106a.002459",-1.37237235159933,0.207190212125119,7,0.30952380952381,15,15,5,5,0.992900883175045,0.716747811877358,0.674337936318604
"mmu.miR.106b.000442",0.902300211679293,0.397418724019873,16,0.547619047619048,15,15,5,3,0.0125394977037975,1.31054793472928,1.25391318409606
"mmu.miR.10a.000387",0.809612148533486,0.447932029526725,18,0.30952380952381,15,15,5,4,0.597305673008848,1.14250705093067,1.10880179117177
"mmu.miR.10b.002218",1.42913087152192,0.234597357258764,16,0.19047619047619,10,11,4,5,0.310385121306836,1.95586277514557,1.79465933321893
"mmu.miR.124.001182",1.00919927772447,0.347802491410367,14,0.412698412698413,10,8,3,4,0.312708108981909,1.30506497004703,1.19854512860288
"mmu.miR.125a.5p.002198",-0.294853087084718,0.777192773079709,11,0.841269841269841,15,14,5,3,0.259917290433132,0.915938455054801,0.80142683333066
"mmu.miR.125b.5p.000449",0.563568365669432,0.58895147416294,15,0.69047619047619,14,14,5,3,0.865200822094037,1.21961850399527,1.22812330926931
"mmu.miR.126.3p.002228",-0.131331082997094,0.898868995591757,12,1,12,12,4,3,0.137087474719166,0.942435215119941,0.920349826119125
"mmu.miR.128a.002216",0.424543399240862,0.682832117218737,16,0.547619047619048,9,12,5,5,0.351239134701647,1.10670316406644,1.14574636074227
"mmu.miR.130a.000454",-0.558547481735991,0.592152255895494,11,0.841269841269841,14,14,5,4,0.502715016375393,0.897589820898792,0.902048269898819
